Çıkış Transfer Merkezi,Varış Transfer Merkezi,Tarih,Toplam Desi
İstanbul,Mardin,2026-01-01,"18858,72"
İstanbul,Zonguldak,2026-01-01,"13815,82"
İstanbul,Denizli,2026-01-01,"16394,08"
İstanbul,Erzincan,2026-01-01,"17279,28"
İstanbul,Karaman,2026-01-01,"4443,88"
İstanbul,Sivas,2026-01-01,"12521,96"
İstanbul,Şanlıurfa,2026-01-01,"11914,04"
İstanbul,Eskişehir,2026-01-01,18762
Manisa,Denizli,2026-01-01,"330,48"
Balıkesir,Bilecik,2026-01-01,"327,36"
Balıkesir,Tekirdağ,2026-01-01,"349,44"
Eskişehir,Balıkesir,2026-01-01,"390,26"
Tekirdağ,Isparta,2026-01-01,"774,56"
Tekirdağ,Eskişehir,2026-01-01,"1845,06"
Eskişehir,Mardin,2026-01-01,"436,92"
Tekirdağ,Kütahya,2026-01-01,"905,52"
Eskişehir,Erzincan,2026-01-01,"313,5"
Tekirdağ,Mersin,2026-01-01,"1294,98"
Eskişehir,Şanlıurfa,2026-01-01,"219,6"
Şanlıurfa,Manisa,2026-01-01,"79,68"
Eskişehir,Tekirdağ,2026-01-01,"451,2"
Şanlıurfa,Tekirdağ,2026-01-01,"48,44"
Şanlıurfa,Eskişehir,2026-01-01,"49,76"
Eskişehir,Manisa,2026-01-01,"524,16"
Balıkesir,Manisa,2026-01-01,"974,28"
İstanbul,Mersin,2026-01-01,"19131,84"
İstanbul,Kütahya,2026-01-01,"12810,84"
Mersin,Manisa,2026-01-01,"243,36"
İstanbul,Tekirdağ,2026-01-01,"18708,48"
İstanbul,Isparta,2026-01-02,"15247,64"
Bilecik,Manisa,2026-01-02,"9779,88"
Kocaeli,Erzincan,2026-01-02,"21659,7"
Tekirdağ,Bilecik,2026-01-02,"18188,32"
Eskişehir,Bilecik,2026-01-02,"16177,66"
Bilecik,Eskişehir,2026-01-02,"11988,48"
İstanbul,Balıkesir,2026-01-02,"47124,08"
Kocaeli,Mardin,2026-01-02,"17614,02"
İstanbul,Mersin,2026-01-02,"29392,72"
Manisa,Mersin,2026-01-02,11725
İstanbul,Manisa,2026-01-02,"47518,88"
Tekirdağ,İstanbul,2026-01-02,"30436,5"
Balıkesir,Manisa,2026-01-02,"15073,1"
İstanbul,Mardin,2026-01-02,"21779,64"
Eskişehir,Mersin,2026-01-02,"12982,76"
Kocaeli,Balıkesir,2026-01-02,"40620,94"
Manisa,Kütahya,2026-01-02,"8904,46"
Kocaeli,Bilecik,2026-01-02,"31492,24"
Mersin,Manisa,2026-01-02,"5489,64"
Manisa,Eskişehir,2026-01-02,"26328,24"
Kocaeli,Şanlıurfa,2026-01-02,"16326,08"
İstanbul,Zonguldak,2026-01-02,"12063,02"
Eskişehir,İstanbul,2026-01-02,"24136,48"
İstanbul,Bilecik,2026-01-02,"27020,4"
Manisa,Denizli,2026-01-02,"7464,96"
Balıkesir,Bilecik,2026-01-02,"8399,76"
İstanbul,Eskişehir,2026-01-02,"51298,7"
Kocaeli,Manisa,2026-01-02,"27094,08"
Tekirdağ,Denizli,2026-01-02,"8184,96"
Tekirdağ,Şanlıurfa,2026-01-02,"12565,7"
Eskişehir,Kütahya,2026-01-02,"10152,9"
Balıkesir,İstanbul,2026-01-02,"15795,44"
Tekirdağ,Manisa,2026-01-02,"32027,94"
Tekirdağ,Zonguldak,2026-01-02,"5631,6"
Kocaeli,Sivas,2026-01-02,"15549,84"
Sivas,Eskişehir,2026-01-02,"13771,1"
İstanbul,Kütahya,2026-01-02,"19823,28"
Eskişehir,Isparta,2026-01-02,"8600,16"
Kütahya,Eskişehir,2026-01-02,"5224,02"
Balıkesir,Eskişehir,2026-01-02,"15442,8"
Balıkesir,Tekirdağ,2026-01-02,"15695,68"
İstanbul,Tekirdağ,2026-01-02,"49762,26"
Kocaeli,Tekirdağ,2026-01-02,"50482,8"
Tekirdağ,Balıkesir,2026-01-02,"30564,24"
Tekirdağ,Isparta,2026-01-02,"10475,36"
Eskişehir,Balıkesir,2026-01-02,"24709,88"
İstanbul,Erzincan,2026-01-02,"22730,04"
İstanbul,Şanlıurfa,2026-01-02,"19566,68"
Şanlıurfa,Eskişehir,2026-01-02,"12763,44"
Mersin,Eskişehir,2026-01-02,"7073,88"
İstanbul,Sivas,2026-01-02,"16735,68"
Tekirdağ,Mersin,2026-01-02,"16532,96"
Eskişehir,Şanlıurfa,2026-01-02,"11297,2"
Kocaeli,Eskişehir,2026-01-02,"42047,2"
Eskişehir,Erzincan,2026-01-02,11407
Manisa,Bilecik,2026-01-02,"15404,4"
Şanlıurfa,Tekirdağ,2026-01-02,"11632,52"
İstanbul,Karaman,2026-01-02,"11023,62"
Şanlıurfa,Manisa,2026-01-02,"12888,24"
Kocaeli,Mersin,2026-01-02,"23665,2"
Eskişehir,Tekirdağ,2026-01-02,"24902,4"
Kocaeli,Kütahya,2026-01-02,"15035,04"
Manisa,Tekirdağ,2026-01-02,"22789,8"
Manisa,Balıkesir,2026-01-02,"20937,24"
Tekirdağ,Kütahya,2026-01-02,"12034,4"
Tekirdağ,Karaman,2026-01-02,"8565,48"
Eskişehir,Manisa,2026-01-02,"25063,92"
Manisa,İstanbul,2026-01-02,"19854,12"
Kocaeli,Isparta,2026-01-02,"11816,7"
Eskişehir,Mardin,2026-01-02,"11426,12"
Tekirdağ,Eskişehir,2026-01-02,"36950,86"
Manisa,Isparta,2026-01-02,"11171,04"
Manisa,Sivas,2026-01-02,"5756,64"
İstanbul,Denizli,2026-01-02,"16071,76"
Kocaeli,İstanbul,2026-01-02,"46116,6"
Manisa,Balıkesir,2026-01-03,"14083,56"
İstanbul,Karaman,2026-01-03,"882,32"
Kocaeli,Sivas,2026-01-03,"7687,28"
İstanbul,Isparta,2026-01-03,"7548,68"
Tekirdağ,Manisa,2026-01-03,"16004,52"
Kocaeli,Bilecik,2026-01-03,"12418,04"
Manisa,Isparta,2026-01-03,"8249,52"
Manisa,Mersin,2026-01-03,8174
Tekirdağ,Denizli,2026-01-03,"595,84"
Kocaeli,Mersin,2026-01-03,"13788,3"
Kocaeli,Kütahya,2026-01-03,"8675,88"
Manisa,Eskişehir,2026-01-03,"14405,04"
Kocaeli,Manisa,2026-01-03,"17075,76"
İstanbul,Eskişehir,2026-01-03,"27321,5"
Manisa,Tekirdağ,2026-01-03,"12982,2"
Manisa,Denizli,2026-01-03,"4639,68"
Tekirdağ,Karaman,2026-01-03,"4033,48"
Balıkesir,İstanbul,2026-01-03,"8216,96"
Sivas,Eskişehir,2026-01-03,"8291,5"
Manisa,Sivas,2026-01-03,"207,64"
Manisa,Bilecik,2026-01-03,"9958,4"
İstanbul,Manisa,2026-01-03,23004
Kocaeli,Mardin,2026-01-03,"12399,72"
İstanbul,Balıkesir,2026-01-03,"21719,84"
Manisa,İstanbul,2026-01-03,"13871,52"
İstanbul,Şanlıurfa,2026-01-03,"10114,12"
İstanbul,Denizli,2026-01-03,"7805,2"
Bilecik,Eskişehir,2026-01-03,"6199,4"
Kocaeli,Erzincan,2026-01-03,"11973,8"
Mersin,Eskişehir,2026-01-03,"5105,54"
Bilecik,Manisa,2026-01-03,"6376,52"
Kocaeli,Isparta,2026-01-03,"7437,5"
İstanbul,Sivas,2026-01-03,"7420,2"
Kocaeli,İstanbul,2026-01-03,"18858,72"
Kocaeli,Şanlıurfa,2026-01-03,"11530,92"
İstanbul,Bilecik,2026-01-03,"11801,76"
İstanbul,Erzincan,2026-01-03,"9999,24"
İstanbul,Mardin,2026-01-03,"8986,98"
Kocaeli,Balıkesir,2026-01-03,"19996,42"
Kocaeli,Tekirdağ,2026-01-03,"20390,7"
Kocaeli,Eskişehir,2026-01-03,"24689,6"
Kütahya,Eskişehir,2026-01-03,"2684,22"
Manisa,Kütahya,2026-01-03,"9102,72"
İstanbul,Zonguldak,2026-01-03,"5264,66"
Balıkesir,Eskişehir,2026-01-03,9452
Tekirdağ,Mersin,2026-01-03,"8957,9"
Balıkesir,Tekirdağ,2026-01-03,"10432,24"
Eskişehir,Manisa,2026-01-03,"13673,52"
Eskişehir,Isparta,2026-01-03,"4393,56"
Tekirdağ,Isparta,2026-01-03,"5478,32"
İstanbul,Kütahya,2026-01-03,"8335,2"
Tekirdağ,Kütahya,2026-01-03,"6385,68"
Tekirdağ,Zonguldak,2026-01-03,"3166,8"
Eskişehir,Erzincan,2026-01-03,5489
Mersin,Manisa,2026-01-03,"4193,28"
Şanlıurfa,Eskişehir,2026-01-03,"8540,06"
Tekirdağ,Balıkesir,2026-01-03,"14029,68"
Eskişehir,İstanbul,2026-01-03,"11765,68"
Tekirdağ,Eskişehir,2026-01-03,"17885,24"
Eskişehir,Kütahya,2026-01-03,"4144,68"
Eskişehir,Şanlıurfa,2026-01-03,"6258,6"
Eskişehir,Mardin,2026-01-03,"5871,94"
İstanbul,Tekirdağ,2026-01-03,"21589,92"
İstanbul,Mersin,2026-01-03,"13029,04"
Eskişehir,Tekirdağ,2026-01-03,"12585,6"
Balıkesir,Bilecik,2026-01-03,4464
Eskişehir,Bilecik,2026-01-03,"8602,62"
Şanlıurfa,Tekirdağ,2026-01-03,"8719,2"
Şanlıurfa,Manisa,2026-01-03,9296
Tekirdağ,İstanbul,2026-01-03,"16031,86"
Balıkesir,Manisa,2026-01-03,"10427,62"
Tekirdağ,Bilecik,2026-01-03,"9491,74"
Eskişehir,Mersin,2026-01-03,"6789,62"
Tekirdağ,Şanlıurfa,2026-01-03,"6418,86"
Eskişehir,Balıkesir,2026-01-03,"11470,68"
Mersin,Manisa,2026-01-04,"327,6"
Eskişehir,Balıkesir,2026-01-04,"661,96"
Tekirdağ,Eskişehir,2026-01-04,"2131,56"
Kocaeli,İstanbul,2026-01-04,"13986,48"
İstanbul,Zonguldak,2026-01-04,"726,16"
Tekirdağ,İstanbul,2026-01-04,"1493,26"
Manisa,Mersin,2026-01-04,"4375,1"
Manisa,Eskişehir,2026-01-04,"4847,04"
Manisa,Kütahya,2026-01-04,"4654,8"
Kocaeli,Balıkesir,2026-01-04,"11465,68"
Tekirdağ,Isparta,2026-01-04,"729,44"
Kocaeli,Bilecik,2026-01-04,"5818,48"
Balıkesir,Manisa,2026-01-04,"840,14"
Tekirdağ,Karaman,2026-01-04,"626,24"
İstanbul,Denizli,2026-01-04,"1801,2"
Manisa,Isparta,2026-01-04,"3640,8"
Eskişehir,Tekirdağ,2026-01-04,"1291,2"
Mersin,Eskişehir,2026-01-04,"440,22"
Kocaeli,Mersin,2026-01-04,"11574,3"
Şanlıurfa,Tekirdağ,2026-01-04,"117,64"
Kocaeli,Kütahya,2026-01-04,"6181,86"
Şanlıurfa,Manisa,2026-01-04,"59,76"
Manisa,Balıkesir,2026-01-04,"6320,16"
Manisa,Bilecik,2026-01-04,"4691,34"
Eskişehir,Şanlıurfa,2026-01-04,"494,1"
İstanbul,Tekirdağ,2026-01-04,"3340,8"
Kocaeli,Eskişehir,2026-01-04,"22120,8"
Eskişehir,Mardin,2026-01-04,"463,4"
İstanbul,Erzincan,2026-01-04,"1266,9"
İstanbul,Karaman,2026-01-04,"624,08"
Manisa,İstanbul,2026-01-04,"4698,2"
İstanbul,Sivas,2026-01-04,"947,64"
Şanlıurfa,Eskişehir,2026-01-04,"485,16"
Eskişehir,Erzincan,2026-01-04,"533,5"
İstanbul,Şanlıurfa,2026-01-04,"971,48"
Tekirdağ,Kütahya,2026-01-04,"705,6"
İstanbul,Manisa,2026-01-04,"2493,52"
Eskişehir,Manisa,2026-01-04,"1249,92"
Kocaeli,Isparta,2026-01-04,"5557,3"
Manisa,Sivas,2026-01-04,"465,4"
Tekirdağ,Mersin,2026-01-04,"958,82"
İstanbul,Mersin,2026-01-04,"1734,48"
İstanbul,Mardin,2026-01-04,"1066,56"
Kütahya,Eskişehir,2026-01-04,"194,22"
Kocaeli,Şanlıurfa,2026-01-04,"8112,96"
Tekirdağ,Şanlıurfa,2026-01-04,"722,68"
Tekirdağ,Zonguldak,2026-01-04,"304,2"
İstanbul,Bilecik,2026-01-04,"1236,48"
Tekirdağ,Balıkesir,2026-01-04,"1379,84"
Balıkesir,İstanbul,2026-01-04,"700,94"
Balıkesir,Tekirdağ,2026-01-04,"349,44"
Kocaeli,Tekirdağ,2026-04-12,"14652"
Eskişehir,Kütahya,2026-01-04,"370,62"
Balıkesir,Eskişehir,2026-01-04,"326,4"
Tekirdağ,Manisa,2026-01-04,"1908,9"
Manisa,Tekirdağ,2026-01-04,4257
Kocaeli,Mardin,2026-01-04,"7712,58"
Eskişehir,Isparta,2026-01-04,"339,48"
Sivas,Eskişehir,2026-01-04,"2307,2"
İstanbul,Kütahya,2026-01-04,"954,32"
Kocaeli,Sivas,2026-01-04,"5871,88"
Bilecik,Manisa,2026-01-04,"86,04"
Eskişehir,İstanbul,2026-01-04,"1034,56"
Tekirdağ,Denizli,2026-01-04,"525,28"
Bilecik,Eskişehir,2026-01-04,"62,44"
Manisa,Denizli,2026-01-04,"1568,16"
İstanbul,Balıkesir,2026-01-04,"2023,4"
Eskişehir,Mersin,2026-01-04,"512,6"
Eskişehir,Bilecik,2026-01-04,"661,74"
Balıkesir,Bilecik,2026-01-04,"379,44"
Tekirdağ,Bilecik,2026-01-04,"1088,52"
İstanbul,Eskişehir,2026-01-04,"2480,4"
İstanbul,Isparta,2026-01-04,"1329,4"
Kocaeli,Manisa,2026-01-04,"12188,28"
Kocaeli,Erzincan,2026-01-04,"8425,5"
